Test Sponsor$System Name$Parallel$Base  Threads$Processor # Enabled  Cores$Processor # Enabled  Chips$Processor # Threads/  Core$Results # Base$Results # Peak$Energy # Base$Energy # Peak$Publish_Date$CPU_Name$CPU_Frequency$Primary_Cache$Secondary_Cache$Tertiary_Cache$Memory$Disk
ASRock Rack Inc.$1U4LW-X570 RPSU AMD Ryzen 7 5800X,3.8GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$8$1$2$15.0$15.3$--$--$Jul-2022$AMD Ryzen 7 5800X$3800$32 KB I + 32 KB D on chip per core$512 KB I+D on chip per core$32 MB I+D on chip per 8 cores$64 GB (2 x 32 GB 2Rx8 PC4-3200AA-E)$Micron 7400 PRO 960GB NVMe M.2
ASUSTeK Computer Inc.$ASUS RS700-E9(Z11PP-D24) Server System (2.70 GHz, Intel Xeon Gold 6150)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$72$36$2$1$8.87$9.16$--$--$Jun-2020$AMD EPYC 7H12$2600$32 KB I + 32 KB D on chip per core$512 KB I+D on chip per core$256 MB I+D on chip per chip, 16 MB shared / 4 cores$512 GB (8 x 64 GB 2Rx4 PC4-3200AA-R)$1 x 480 GB SATA SSD
ASUSTeK Computer Inc.$ASUS RS700-E9(Z11PP-D24) Server System (2.10 GHz, Intel Xeon Platinum 8176)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$112$56$2$1$9.30$9.58$--$--$Aug-2019$Intel Xeon Bronze 3204$1900$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$8.25 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2133)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS WS C621E SAGE Server System (2.50 GHz, Intel Xeon Platinum 8180)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$112$56$2$1$9.64$9.96$--$--$May-2020$Intel Xeon Bronze 3206R$1900$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$11 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2133)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS WS C621E SAGE Server System (3.00 GHz, Intel Xeon Gold 6154)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$72$36$2$1$9.20$9.41$--$--$May-2019$Intel Xeon Gold 6238T$1900$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$30.25 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.10 GHz, Intel Xeon Platinum 8176)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$112$56$2$1$9.61$9.93$--$--$Jun-2020$Intel Xeon Gold 5218R$2100$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$27.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2666)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.70 GHz, Intel Xeon Gold 6150)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$72$36$2$1$9.19$9.40$--$--$Jun-2019$Intel Xeon Gold 6230$2100$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$27.5 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (3.50 GHz, Intel Xeon Gold 6144)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$16$2$1$10.0$10.3$--$--$May-2020$Intel Xeon Gold 6230R$2100$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.40 GHz, Intel Xeon Gold 6148)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$80$40$2$1$9.25$9.53$--$--$Aug-2019$Intel Xeon Gold 6252$2100$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (2.00 GHz, Intel Xeon Gold 6138)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$80$40$2$1$9.24$9.51$--$--$Aug-2019$Intel Xeon Silver 4208$2100$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$11 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2400)$1 x 1 TB SATA SSD
ASUSTeK Computer Inc.$ASUS RS720Q-E9(Z11PH-D12) Server System (3.40 GHz, Intel Xeon Gold 6128)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$12$2$2$8.81$9.11$--$--$Jul-2019$Intel Xeon Silver 4216$2100$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$22 MB I+D on chip per chip$768 GB (24 x 32 GB 2Rx4 PC4-2933Y-R, running at 2400)$1 x 1 TB SATA SSD
