Test Sponsor$System Name$Auto  Parallel$Processor # Enabled  Cores$Processor # Enabled  Chips$Processor # Cores/  Chip$Processor # Threads/  Core$Results # Base$Results # Peak$Publish_Date$CPU_Name$CPU_Frequency$Primary_Cache$Secondary_Cache$Tertiary_Cache$Memory
ACTION S.A.$ACTINA SOLAR E 110 X3 (Intel Xeon X3330, 2.66 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$22.0$22.8$Dec-2015$Intel Xeon E3-1220 v3$3100$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$32 GB (4 x 8 GB 2Rx8 PC3-12800E-11, ECC)
ACTION S.A.$ACTINA SOLAR 220 S3 (Intel Xeon E5410, 2.33 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$20.4$21.3$Nov-2015$Intel Xeon E5-2697 v3$2600$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$35 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2400P-R, running at 2133 MHz)
ACTION S.A.$ACTINA SOLAR 220 X3 (Intel Xeon X5650)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$2$51.3$53.4$Oct-2012$Intel Xeon E5-2420$1900$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$15 MB I+D on chip per chip$96 GB (6 x 16 GB 2Rx4 PC3-12800R-11, ECC, running at 1333 MHz)
ACTION S.A.$ACTINA SOLAR 210 X5 (Intel Xeon E5-2630)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$2$61.6$64.8$Oct-2012$Intel Xeon E5-2630$2300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$15 MB I+D on chip per chip$128 GB (16 x 8 GB 2Rx4 PC3-12800R-11, ECC)
ACTION S.A.$ACTINA SOLAR 205 S5 (Intel Xeon E5-2420)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$2$49.1$51.6$Sep-2016$Intel Xeon E5-2603 v4$1700$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$15 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2133P-R, running at 1866 MHz)
ACTION S.A.$ACTINA SOLAR E 110 S6 (Intel Xeon E3-1231 v3, 3.40 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$2$73.2$75.3$Jul-2016$Intel Xeon E5-2620 v4$2100$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$20 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2400T-R, running at 2133 MHz)
ACTION S.A.$ACTINA SOLAR 820 X6 (Intel Xeon E5-2680 v3, 2.50 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$2$12$1$91.5$95.6$Aug-2016$Intel Xeon E5-2630 v4$2200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$25 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2400T-R, running at 2133 MHz)
ACTION S.A.$ACTINA SOLAR 220 X6 (Intel Xeon E5-2683 v3, 2.00 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$28$2$14$1$96.8$101$Nov-2016$Intel Xeon E5-2640 v4$2400$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$25 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2400T-R, running at 2133 MHz)
ACTION S.A.$ACTINA SOLAR 222 S6 (Intel Xeon E5-2680 v3, 2.50 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$2$12$1$108$112$Nov-2016$Intel Xeon E5-2650 v4$2200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$30 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2400T-R)
ACTION S.A.$ACTINA SOLAR 222 S6 (Intel Xeon E5-2683 v3, 2.00 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$28$2$14$1$97.6$102$Sep-2016$Intel Xeon E5-2650 v4$2200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$30 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2400T-R)
ACTION S.A.$ACTINA SOLAR 222 S6 (Intel Xeon E5-2670 v3, 2.30 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$2$12$1$104$108$Nov-2015$Intel Xeon E5-2697 v3$2600$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$35 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2133P-R)
